
====================================================================
             Stock Selection & Rejection Explanation Report
====================================================================
Index/File:       microcap250
Strategy Preset:  multibagger
Generated:        2026-07-19 21:28:15 IST
====================================================================

--- SUMMARY ---
Initial pool size:              251 constituents
NSE:KNRCON       | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:KPIGREEN     | Below 200-Day SMA (Downtrend)
NSE:KRBL         | Below 200-Day SMA (Downtrend)
NSE:KRN          | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:KSB          | Operational Criteria failed: only 0/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: false, DSO improvement: false)
NSE:KSCL         | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:KTKBANK      | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:LLOYDSENGG   | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:LLOYDSENT    | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:LOTUSDEV     | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:LUMAXTECH    | Below 200-Day SMA (Downtrend)
NSE:LXCHEM       | Low Capital Efficiency (ROCE < 12.0%)
NSE:MAHSCOOTER   | Below 200-Day SMA (Downtrend)
NSE:MAHSEAMLES   | Below 200-Day SMA (Downtrend)
NSE:MANYAVAR     | Below 200-Day SMA (Downtrend)
NSE:MARKSANS     | Operational Criteria failed: only 1/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: true, DSO improvement: false)
NSE:MASTEK       | Below 200-Day SMA (Downtrend)
NSE:MEDPLUS      | Below 200-Day SMA (Downtrend)
NSE:MIDHANI      | Low Capital Efficiency (ROCE < 12.0%)
NSE:MOIL         | Below 200-Day SMA (Downtrend)
NSE:MSTCLTD      | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:MTARTECH     | Low CROIC (5.3% < 6.0% limit)
NSE:NAZARA       | Low Capital Efficiency (ROCE < 12.0%)
NSE:NEOGEN       | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:NESCO        | Below 200-Day SMA (Downtrend)
NSE:NETWORK18    | Below 200-Day SMA (Downtrend)
NSE:NFL          | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:OPTIEMUS     | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:ORIENTCEM    | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:ORKLAINDIA   | Operational Criteria failed: only 0/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: false, DSO improvement: false)
NSE:OSWALPUMPS   | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:PARAS        | Low CROIC (-1.7% < 6.0% limit)
NSE:PCJEWELLER   | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:PGIL         | Operational Criteria failed: only 0/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: false, DSO improvement: false)
NSE:PICCADIL     | Low CROIC (-5.2% < 6.0% limit)
NSE:PNCINFRA     | Low Capital Efficiency (ROCE < 12.0%)
NSE:PNGJL        | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:POWERMECH    | Low CROIC (3.0% < 6.0% limit)
NSE:PRAJIND      | Low Interest Coverage (ratio < 3.0)
NSE:PRICOLLTD    | Low CROIC (-2.6% < 6.0% limit)
NSE:PRSMJOHNSN   | Below 200-Day SMA (Downtrend)
